country,year,tourism_exports,gdp,inflation,unemployment
Slovenia,2019,7.36661676228142,53909922735.545,1.63052260754344,4.446
Sri Lanka,2019,24.0183500926487,89014978344.1404,3.52839358231811,4.67
Turkiye,2019,16.3137888247691,761005915750.925,15.1768215720022,13.73
Ukraine,2019,4.08301340550066,153883047509.577,7.88671745611133,8.194
United States,2019,9.40379691157296,21539982000000.0,1.81221007526021,3.669
Armenia,2020,7.85562441388364,12641698583.2152,1.21143577838465,8.055
Australia,2020,8.71868118925126,1328414058378.38,0.846905537459305,6.456
Azerbaijan,2020,2.23476091933944,42693000000.0,2.75980947008127,7.24
Belgium,2020,1.77483902178966,529694473501.791,0.740791812220344,5.545
Bulgaria,2020,4.4878009199491,70716821234.5967,1.67244096855756,5.125
Colombia,2020,5.12510160368679,270348342541.465,2.52663500084706,15.983
Costa Rica,2020,7.40531362400925,62395610760.0492,0.724911478131376,16.432
El Salvador,2020,12.3429614370237,24921190000.0,-0.371590212324095,5.008
Finland,2020,1.794806606539,270000311606.226,0.290554555653239,7.759
France,2020,4.80404188740469,2647926055110.05,0.476498852725066,8.01
Hungary,2020,3.40367436577453,157288955508.176,3.32674385766738,4.25
Indonesia,2020,1.9801836869729,1059054842711.55,1.9209680056685,4.255
Japan,2020,1.43461261665334,5055587093501.59,-0.024995834027731,2.809
Kazakhstan,2020,1.19537232198366,171082365861.423,6.71815454861464,4.89
"Korea, Rep.",2020,1.93842025991556,1644312831906.17,0.537288023411737,3.931
Luxembourg,2020,2.9647860144973,73699366700.2134,0.819957302127036,6.766
"Macao SAR, China",2020,60.6106323166548,25343525935.8358,0.811410511491651,2.566
Mauritius,2020,16.7722463171788,11408106446.3144,2.5808007718283,8.627
Mexico,2020,2.5678508801707,1121064767261.88,3.39683415570006,4.441
Moldova,2020,10.9860440000372,11530746234.4492,3.76597122245351,1.186
Norway,2020,1.85607481686364,367633418886.627,1.28658490708005,4.424
Panama,2020,9.30043185511453,57059846500.0,-1.5502754080376,18.548
Paraguay,2020,0.842867466880348,35432178068.1814,1.76751592356698,7.548
Peru,2020,2.19970196129002,201409694755.934,2.00241205759292,7.179
Romania,2020,1.73180538052312,252033792712.145,2.63107311184743,5.035
Russian Federation,2020,1.3004275447173,1493075894362.14,3.38165937237898,5.62
Slovenia,2020,3.38780096966912,53384760135.1581,-0.05485681576061,4.971
Sri Lanka,2020,8.22453929535838,84304298770.5329,6.15394508391738,5.365
Turkiye,2020,6.63601887056125,720338490327.248,12.2789574462574,13.148
Ukraine,2020,1.1316652115901,156617722013.342,2.73249209419427,9.475
United States,2020,3.89811795041537,21354105000000.0,1.23358439630629,8.055
